ID,example,timehorizon,timestep,numlocs,numdrivers,numtrucks,numarcs,lambdaobj,timedelta,totalcompletedorders,neworders,numorders,iteration,cumuloptval,totalpastcost,optval,optval_delay,optval_dist,infeasible_order_count,incomplete_order_count,ordertrips,emptytrips,taxitrips,ordermiles,emptymiles,taximiles,delay_per_order,max_order_delay,nightsathome,nightsaway,orders_ip_time,drivers_ip_time,order_arc_count
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,0,0,115,115,drivers,191544.90072345498,0,191544.90072345498,79.80120568180662,151644.29788255165,0.0,40.0,0,0,0,0,0,0,NaN,0,9802.0,146.0,2.7709288597106934,3610.720072031021,14790
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,6,0,38,153,drivers,253811.02302016,4108.438483513852,249702.58453664614,126.93769064452886,186233.73921438179,0.0,59.0,13,7.0,0,2502.299049267292,1606.1394342465599,0,NaN,0,11436.0,189.0,101.94955110549927,1465.9922180175781,16362
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,12,3,26,176,drivers,285753.9570257548,6879.83533669345,278874.12168906134,130.45128465759944,213648.4793602616,0.0,49.0,33,11.0,0,3562.9342806461477,2071.6533427676072,0,0.8301651421864634,2.4285714285714284,9693.000000492142,254.99999950785786,206.07757997512817,1305.72442984581,19687
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,18,12,16,183,drivers,313950.94439135166,24225.70818086042,289725.2362104912,132.73549881240731,223357.48680428756,0.0,51.0,87,27.0,1.0,15230.59906034958,5828.7585468104135,188.2796324248288,0.4963451568792667,2.4285714285714284,11270.0,317.0,39.00728106498718,1068.1695330142975,20427
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,24,13,24,206,drivers,346976.62545735965,24984.20233785019,321992.4231195095,152.23905305211446,245872.89659345237,0.0,57.0,106,28.0,1.0,15894.953401126939,5922.898363022828,188.2796324248288,0.4581647601962462,2.4285714285714284,9641.0,307.0,284.0081009864807,1400.0969769954681,23304
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,30,35,37,221,drivers,427238.29526854306,53284.35821465801,373953.9370538851,202.60765240615112,272650.1108508097,0.0,82.0,211,47.00000000000189,1.0,37816.88328457976,10568.047848245367,188.2796324248288,0.26920842568046016,2.4285714285714284,11267.0,358.0,238.3273742198944,3603.8066120147705,24832
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,36,36,17,237,drivers,437526.96670451213,54989.59606960028,382537.3706349119,196.183594882507,284445.57319365855,0.0,66.0,249,49.000000000004675,1.0,39423.40911470266,10666.759873064737,188.2796324248288,0.26173041385600293,2.4285714285714284,9610.0,338.0,27.63979196548462,715.4227139949799,26851
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,42,61,28,240,drivers,487393.82160059863,94518.77997501842,392875.0416255802,217.0465583247226,284351.762463219,0.0,75.0,378,89.00000000000645,1.0,66979.854831474,19892.33040637679,188.2796324248288,0.24453492146697803,2.4285714285714284,11171.999999019352,415.0000009806481,258.3262360095978,3602.457589864731,26671
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,48,65,33,269,drivers,539403.1017505073,98365.91480162562,441037.1869488816,260.45274802197696,310810.81293789315,0.0,84.0,426,98.00000000000645,1.0,69543.28030641667,21032.07427667865,188.2796324248288,0.23391632572632357,2.4285714285714284,9598.0,350.0,34.75874400138855,550.9413928985596,29959
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,54,89,32,277,drivers,596120.1629766806,142341.5244788237,453778.6384978568,272.0230346758715,317767.121159921,0.0,90.0,565,143.9999984048032,2.0,98093.6902562903,32259.07622451755,376.5592648496576,0.26094828613856674,2.4285714285714284,11192.0,433.0,152.5822730064392,3606.472006082535,30577
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,60,90,16,292,drivers,614337.6991171768,146425.85527952644,467911.8438376504,291.5946579319638,322114.5148716685,0.0,85.0,617,152.99999840480368,2.0,101255.66776648388,33181.42951502674,376.5592648496576,0.2580488607370271,2.4285714285714284,9593.0,355.0,47.74553394317627,195.8123540878296,32492
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,66,132,18,268,drivers,657931.3106972645,194390.5819411594,463540.72875610506,301.59493184372826,312743.26283424103,0.0,89.0,778,201.99999840480805,2.0,131411.37742019302,44405.922823880246,376.5592648496576,0.27570791563994274,2.4285714285714284,11167.0,420.0,51.0879180431366,566.1551370620728,29380
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,72,135,22,287,drivers,698498.5288519347,199752.49889676223,498746.02995517245,337.76491883953565,329863.5705354042,0.0,97.0,848,216.99999840480834,2.0,134420.18594367435,46506.102981549404,376.5592648496576,0.27332815861760723,2.4285714285714284,9623.0,325.0,27.910417079925537,3602.3841829299927,31152
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,78,176,54,300,drivers,807932.3377851498,251421.66138313085,556510.676402019,373.79076683363496,369615.29298520146,0.0,124.0,1010,255.99999840480942,3.0,166524.4592023804,56087.214253561186,734.8376457924836,0.31903579865223286,2.4285714285714284,11206.0,419.0,296.06836795806885,3603.7788500785828,32043
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,84,178,28,326,drivers,843287.5335761631,255875.14493574415,587412.388640419,396.64777109878355,389088.5030910272,0.0,119.0,1075,259.9999984048101,3.0,170486.5512581739,56477.67089257248,734.8376457924836,0.31658522628320257,2.4285714285714284,9578.0,370.0,359.7959659099579,89.60571503639221,35134
