ID,example,timehorizon,timestep,numlocs,numdrivers,numtrucks,numarcs,lambdaobj,timedelta,totalcompletedorders,neworders,numorders,abcgiteration,heuristicdp,totalabcgiteration,minreducedcost,cumuloptval,totalpastcost,optval,optval_delay,optval_dist,infeasible_order_count,incomplete_order_count,ordertrips,emptytrips,taxitrips,ordermiles,emptymiles,taximiles,delay_per_order,max_order_delay,nightsathome,nightsaway,ip_time,rmp_time,pp_time,pptime_parallel,order_arc_count
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,1,0,,-1,,0,1.1526310958960853e9,5262.419857743167,1.149999885967212e9,115.0,0,0,0,0,0,0,0,NaN,0,9948.0,0.0,,9.3282630443573,0.0,0.0,115
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,2,0,,-1.0283433036146307e7,,0,7.61090765497537e8,2099.942905558714,7.600407940447618e8,76.0,0.0,0,0,0,0,0,0,NaN,0,9827.0,121.0,,5.4051690101623535,19.464205026626587,5.787088871002197,862
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,3,0,,-1.0059499687989818e7,,0,5.2060645806912744e8,1079.90528831909,5.20066505424967e8,52.0,0.0,0,0,0,0,0,0,NaN,0,9748.5,199.5,,4.487941026687622,18.345484495162964,5.059674263000488,1553
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,4,0,,-1.002665023809028e7,,0,4.805407178219703e8,942.0279080217948,4.8006970386795896e8,48.0,0.0,0,0,0,0,0,0,NaN,0,9738.0,210.0,,4.644943952560425,18.75931692123413,4.943461894989014,2135
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,5,0,,-1.002645144345599e7,,0,4.0044960207286316e8,739.1281147202503,4.0008003801550245e8,40.0,2.0,0,0,0,0,0,0,NaN,0,9725.0,223.0,,8.077826023101807,19.10419988632202,5.099287033081055,2733
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,6,0,,-1.0026339650857141e7,,0,3.704073331275523e8,649.3120383510411,3.700826771083764e8,37.0,4.0,0,0,0,0,0,0,NaN,0,9709.0,239.0,,8.167713165283203,19.19628620147705,5.743843078613281,3253
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,7,0,,-1.0018064173704747e7,,0,3.1033791449596167e8,500.49376329143615,3.1008766761431605e8,31.0,7.0,0,0,0,0,0,0,NaN,0,9696.5,251.5,,5.845157146453857,18.450992107391357,5.09736442565918,3697
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,8,0,,-1.0015718601833485e7,,0,3.0033126090397364e8,486.5176410911057,3.0008800208342874e8,30.0,10.0,0,0,0,0,0,0,NaN,0,9703.0,245.0,,7.709831953048706,18.22156023979187,5.026000499725342,4109
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,9,0,,-1.00156137936935e7,,0,2.503050487861356e8,419.3584366381999,2.5009536956781748e8,25.0,16.0,0,0,0,0,0,0,NaN,0,9677.5,270.5,,7.27816104888916,18.98905897140503,5.141891956329346,4456
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,10,0,,-1.0015577027219625e7,,0,1.802501343356077e8,289.038785690157,1.8010561494276324e8,18.0,22.0,0,0,0,0,0,0,NaN,0,9659.5,288.5,,9.77330994606018,18.811021327972412,5.057674407958984,4740
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,11,0,,-1.0006835919864157e7,,0,1.602370883085926e8,261.3615127698103,1.6010640755220845e8,16.0,24.0,0,0,0,0,0,0,NaN,0,9665.5,282.5,,6.570852994918823,18.756718397140503,4.837669610977173,5009
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,12,0,,-1.000685056058539e7,,0,1.3022059499738489e8,216.7421187211578,1.301122239380242e8,13.0,27.0,0,0,0,0,0,0,NaN,0,9664.0,284.0,,9.994795799255371,19.22343873977661,5.200338125228882,5242
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,13,0,,-1.0006822602277588e7,,0,1.3022019506338228e8,219.0433496958991,1.301106733885342e8,13.0,30.0,0,0,0,0,0,0,NaN,0,9669.5,278.5,,10.716679096221924,18.45279884338379,5.139814615249634,5459
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,14,0,,-1.0006648928547122e7,,0,1.2021541236607026e8,206.86369848658978,1.2011198051682687e8,12.0,31.0,0,0,0,0,0,0,NaN,0,9664.5,283.5,,7.49863600730896,18.163283824920654,4.784808874130249,5700
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,15,0,,-1.0006515938123628e7,,0,1.0020533012071095e8,177.15445564624946,1.0011675289288779e8,10.0,34.0,0,0,0,0,0,0,NaN,0,9657.5,290.5,,9.09142804145813,18.90055823326111,5.045370817184448,5841
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,16,0,,-1.000625380488636e7,,0,8.019688438307688e7,151.74184806328088,8.012101345904514e7,8.0,34.0,0,0,0,0,0,0,NaN,0,9653.5,294.5,,8.342604875564575,18.463515043258667,4.918850660324097,5972
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,17,0,,-1.0006266984874409e7,,0,8.019625539186297e7,152.59138081694408,8.011995970145448e7,8.0,34.0,0,0,0,0,0,0,NaN,0,9652.5,295.5,,7.92999792098999,18.52005410194397,5.0781919956207275,6128
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,18,0,,-1.0006279783883385e7,,0,6.018641398935412e7,125.0851329901339,6.012387142285896e7,6.0,36.0,0,0,0,0,0,0,NaN,0,9651.5,296.5,,13.910896062850952,18.421332359313965,4.994814395904541,6265
ex4_abcg_rundate2021-09-04,4,72,6,66,3316,2495,5777,500,0,0,115,115,19,0,,-1.0005772082716819e7,,0,6.0186013890921466e7,126.77708652116794,6.012262534766072e7,6.0,39.0,0,0,0,0,0,0,NaN,0,9663.166666666666,284.83333333333394,,9.881123065948486,18.310455560684204,5.085098743438721,6394
