varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,144,8,25,17,144.0,156.0,0.0
y,144,10,25,17,156.0,168.0,0.0
y,144,12,25,17,168.0,180.0,0.0
y,144,14,25,17,180.0,192.0,0.0
y,144,16,25,17,192.0,204.0,0.0
y,144,18,25,17,204.0,216.0,0.0
y,144,29,25,30,144.0,150.0,0.0
y,144,30,25,30,150.0,156.0,0.0
y,144,31,25,30,156.0,162.0,0.0
y,144,32,25,30,162.0,168.0,0.0
y,144,33,25,30,168.0,174.0,0.0
y,144,34,25,30,174.0,180.0,0.0
y,144,35,25,30,180.0,186.0,0.0
y,144,36,25,30,186.0,192.0,0.0
y,144,37,25,30,192.0,198.0,0.0
y,144,38,25,30,198.0,204.0,0.0
y,144,39,25,30,204.0,210.0,0.0
y,144,40,25,30,210.0,216.0,0.0
y,144,51,25,19,144.0,150.0,0.0
y,144,52,25,19,150.0,156.0,2.0
y,144,53,25,19,156.0,162.0,0.0
y,144,54,25,19,162.0,168.0,1.0
y,144,55,25,19,168.0,174.0,0.0
y,144,56,25,19,174.0,180.0,1.0
y,144,57,25,19,180.0,186.0,0.0
y,144,58,25,19,186.0,192.0,0.0
y,144,59,25,19,192.0,198.0,1.0
y,144,60,25,19,198.0,204.0,0.0
y,144,61,25,19,204.0,210.0,0.0
y,144,62,25,19,210.0,216.0,0.0
y,144,63,3,5,144.0,150.0,0.0
y,144,64,3,5,150.0,156.0,0.0
y,144,65,3,5,156.0,162.0,0.0
y,144,66,3,5,162.0,168.0,0.0
y,144,67,3,5,168.0,174.0,0.0
y,144,68,3,5,174.0,180.0,0.0
y,144,69,3,5,180.0,186.0,0.0
y,144,70,3,5,186.0,192.0,0.0
y,144,71,3,5,192.0,198.0,0.0
y,144,72,3,5,198.0,204.0,0.0
y,144,73,3,5,204.0,210.0,0.0
y,144,74,3,5,210.0,216.0,0.0
y,144,75,55,60,144.0,156.0,0.0
y,144,77,55,60,156.0,168.0,0.0
y,144,79,55,60,168.0,180.0,0.0
y,144,81,55,60,180.0,192.0,0.0
y,144,83,55,60,192.0,204.0,0.0
y,144,85,55,60,204.0,216.0,0.0
y,144,92,55,54,144.0,156.0,0.0
y,144,94,55,54,156.0,168.0,0.0
y,144,96,55,54,168.0,180.0,0.0
y,144,98,55,54,180.0,192.0,0.0
y,144,100,55,54,192.0,204.0,0.0
y,144,102,55,54,204.0,216.0,0.0
y,144,103,55,50,144.0,156.0,0.0
y,144,105,55,50,156.0,168.0,0.0
y,144,107,55,50,168.0,180.0,0.0
y,144,109,55,50,180.0,192.0,0.0
y,144,111,55,50,192.0,204.0,0.0
y,144,113,55,50,204.0,216.0,0.0
y,144,128,56,60,144.0,150.0,0.0
y,144,129,56,60,150.0,156.0,0.0
y,144,130,56,60,156.0,162.0,0.0
y,144,131,56,60,162.0,168.0,0.0
y,144,132,56,60,168.0,174.0,0.0
y,144,133,56,60,174.0,180.0,0.0
y,144,134,56,60,180.0,186.0,0.0
y,144,135,56,60,186.0,192.0,0.0
y,144,136,56,60,192.0,198.0,0.0
y,144,137,56,60,198.0,204.0,0.0
y,144,138,56,60,204.0,210.0,0.0
y,144,139,56,60,210.0,216.0,0.0
y,144,140,14,20,144.0,150.0,0.0
y,144,141,14,20,150.0,156.0,0.0
y,144,142,14,20,156.0,162.0,0.0
y,144,143,14,20,162.0,168.0,0.0
y,144,152,56,45,144.0,156.0,0.0
y,144,154,56,45,156.0,168.0,0.0
y,144,156,56,45,168.0,180.0,0.0
y,144,158,56,45,180.0,192.0,0.0
y,144,160,56,45,192.0,204.0,0.0
y,144,162,56,45,204.0,216.0,0.0
y,144,163,55,56,144.0,150.0,0.0
y,144,164,55,56,150.0,156.0,0.0
y,144,165,55,56,156.0,162.0,0.0
y,144,166,55,56,162.0,168.0,0.0
y,144,167,55,56,168.0,174.0,0.0
y,144,168,55,56,174.0,180.0,0.0
y,144,169,55,56,180.0,186.0,0.0
y,144,170,55,56,186.0,192.0,0.0
y,144,171,55,56,192.0,198.0,0.0
y,144,172,55,56,198.0,204.0,0.0
y,144,173,55,56,204.0,210.0,0.0
y,144,174,55,56,210.0,216.0,0.0
y,144,175,64,55,144.0,156.0,0.0
y,144,177,64,55,156.0,168.0,0.0
y,144,179,64,55,168.0,180.0,0.0
y,144,181,64,55,180.0,192.0,0.0
y,144,183,64,55,192.0,204.0,0.0
y,144,185,64,55,204.0,216.0,0.0
y,144,186,64,56,144.0,156.0,0.0
y,144,188,64,56,156.0,168.0,0.0
y,144,197,64,60,144.0,156.0,0.0
y,144,199,64,60,156.0,168.0,0.0
y,144,201,64,60,168.0,180.0,0.0
y,144,203,64,60,180.0,192.0,0.0
y,144,205,64,60,192.0,204.0,0.0
y,144,207,64,60,204.0,216.0,0.0
y,144,229,64,53,144.0,156.0,0.0
y,144,231,64,53,156.0,168.0,0.0
y,144,233,64,53,168.0,180.0,0.0
y,144,235,64,53,180.0,192.0,0.0
y,144,237,64,53,192.0,204.0,0.0
y,144,239,64,53,204.0,216.0,0.0
y,144,240,40,39,144.0,150.0,0.0
y,144,241,40,39,150.0,156.0,1.0
y,144,242,40,39,156.0,162.0,0.0
y,144,243,40,39,162.0,168.0,0.0
y,144,244,40,39,168.0,174.0,0.0
y,144,245,40,39,174.0,180.0,0.0
y,144,246,40,39,180.0,186.0,0.0
y,144,247,40,39,186.0,192.0,0.0
y,144,248,40,39,192.0,198.0,0.0
y,144,249,40,39,198.0,204.0,0.0
y,144,250,40,39,204.0,210.0,0.0
y,144,251,40,39,210.0,216.0,0.0
y,144,262,40,43,144.0,150.0,0.0
y,144,263,40,43,150.0,156.0,0.0
y,144,264,40,43,156.0,162.0,0.0
y,144,265,40,43,162.0,168.0,0.0
y,144,266,40,43,168.0,174.0,0.0
y,144,267,40,43,174.0,180.0,0.0
y,144,268,40,43,180.0,186.0,0.0
y,144,269,40,43,186.0,192.0,0.0
y,144,270,40,43,192.0,198.0,0.0
y,144,271,40,43,198.0,204.0,0.0
y,144,272,40,43,204.0,210.0,0.0
y,144,273,40,43,210.0,216.0,0.0
y,144,274,40,35,144.0,156.0,0.0
y,144,276,40,35,156.0,168.0,0.0
y,144,278,40,35,168.0,180.0,0.0
y,144,280,40,35,180.0,192.0,0.0
y,144,282,40,35,192.0,204.0,0.0
y,144,284,40,35,204.0,216.0,0.0
y,144,295,49,51,144.0,156.0,0.0
y,144,297,49,51,156.0,168.0,0.0
y,144,299,49,51,168.0,180.0,0.0
y,144,301,49,51,180.0,192.0,0.0
y,144,303,49,51,192.0,204.0,0.0
y,144,305,49,51,204.0,216.0,0.0
y,144,323,49,48,144.0,150.0,0.0
y,144,324,49,48,150.0,156.0,0.0
y,144,325,49,48,156.0,162.0,0.0
y,144,326,49,48,162.0,168.0,0.0
y,144,327,49,48,168.0,174.0,0.0
y,144,328,49,48,174.0,180.0,0.0
y,144,329,49,48,180.0,186.0,0.0
y,144,330,49,48,186.0,192.0,0.0
y,144,331,49,48,192.0,198.0,0.0
y,144,332,49,48,198.0,204.0,0.0
y,144,333,49,48,204.0,210.0,0.0
y,144,334,49,48,210.0,216.0,0.0
y,144,335,27,29,144.0,156.0,0.0
y,144,337,27,29,156.0,168.0,0.0
y,144,339,27,29,168.0,180.0,0.0
y,144,341,27,29,180.0,192.0,0.0
y,144,343,27,29,192.0,204.0,0.0
y,144,345,27,29,204.0,216.0,0.0
y,144,346,27,31,144.0,156.0,0.0
y,144,348,27,31,156.0,168.0,0.0
y,144,350,27,31,168.0,180.0,1.0
y,144,352,27,31,180.0,192.0,0.0
y,144,354,27,31,192.0,204.0,0.0
y,144,356,27,31,204.0,216.0,0.0
y,144,357,27,28,144.0,156.0,1.0
