varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,18,9,25,17,24.0,36.0,0.0
y,18,11,25,17,36.0,48.0,1.0
y,18,13,25,17,48.0,60.0,1.0
y,18,15,25,17,60.0,72.0,0.0
y,18,17,25,17,72.0,84.0,0.0
y,18,29,25,30,18.0,24.0,0.0
y,18,30,25,30,24.0,30.0,0.0
y,18,31,25,30,30.0,36.0,0.0
y,18,32,25,30,36.0,42.0,0.0
y,18,33,25,30,42.0,48.0,0.0
y,18,34,25,30,48.0,54.0,0.0
y,18,35,25,30,54.0,60.0,0.0
y,18,36,25,30,60.0,66.0,0.0
y,18,37,25,30,66.0,72.0,0.0
y,18,38,25,30,72.0,78.0,0.0
y,18,39,25,30,78.0,84.0,0.0
y,18,40,25,30,84.0,90.0,0.0
y,18,51,25,19,18.0,24.0,0.0
y,18,52,25,19,24.0,30.0,0.0
y,18,53,25,19,30.0,36.0,0.0
y,18,54,25,19,36.0,42.0,0.0
y,18,55,25,19,42.0,48.0,0.0
y,18,56,25,19,48.0,54.0,0.0
y,18,57,25,19,54.0,60.0,0.0
y,18,58,25,19,60.0,66.0,0.0
y,18,59,25,19,66.0,72.0,5.0
y,18,60,25,19,72.0,78.0,0.0
y,18,61,25,19,78.0,84.0,0.0
y,18,62,25,19,84.0,90.0,0.0
y,18,63,3,5,18.0,24.0,0.0
y,18,64,3,5,24.0,30.0,0.0
y,18,65,3,5,30.0,36.0,0.0
y,18,66,3,5,36.0,42.0,0.0
y,18,67,3,5,42.0,48.0,0.0
y,18,68,3,5,48.0,54.0,0.0
y,18,69,3,5,54.0,60.0,0.0
y,18,70,3,5,60.0,66.0,0.0
y,18,71,3,5,66.0,72.0,0.0
y,18,72,3,5,72.0,78.0,0.0
y,18,73,3,5,78.0,84.0,0.0
y,18,74,3,5,84.0,90.0,0.0
y,18,76,55,60,24.0,36.0,0.0
y,18,78,55,60,36.0,48.0,0.0
y,18,80,55,60,48.0,60.0,0.0
y,18,82,55,60,60.0,72.0,0.0
y,18,84,55,60,72.0,84.0,0.0
y,18,93,55,54,24.0,36.0,0.0
y,18,95,55,54,36.0,48.0,0.0
y,18,97,55,54,48.0,60.0,0.0
y,18,99,55,54,60.0,72.0,0.0
y,18,101,55,54,72.0,84.0,0.0
y,18,104,55,50,24.0,36.0,0.0
y,18,106,55,50,36.0,48.0,0.0
y,18,108,55,50,48.0,60.0,0.0
y,18,110,55,50,60.0,72.0,0.0
y,18,112,55,50,72.0,84.0,0.0
y,18,128,56,60,18.0,24.0,0.0
y,18,129,56,60,24.0,30.0,0.0
y,18,130,56,60,30.0,36.0,0.0
y,18,131,56,60,36.0,42.0,0.0
y,18,132,56,60,42.0,48.0,0.0
y,18,133,56,60,48.0,54.0,0.0
y,18,134,56,60,54.0,60.0,0.0
y,18,135,56,60,60.0,66.0,0.0
y,18,136,56,60,66.0,72.0,0.0
y,18,137,56,60,72.0,78.0,0.0
y,18,138,56,60,78.0,84.0,0.0
y,18,139,56,60,84.0,90.0,0.0
y,18,140,14,20,18.0,24.0,0.0
y,18,153,56,45,24.0,36.0,0.0
y,18,155,56,45,36.0,48.0,0.0
y,18,157,56,45,48.0,60.0,0.0
y,18,159,56,45,60.0,72.0,0.0
y,18,161,56,45,72.0,84.0,0.0
y,18,163,55,56,18.0,24.0,0.0
y,18,164,55,56,24.0,30.0,0.0
y,18,165,55,56,30.0,36.0,0.0
y,18,166,55,56,36.0,42.0,0.0
y,18,167,55,56,42.0,48.0,0.0
y,18,168,55,56,48.0,54.0,0.0
y,18,169,55,56,54.0,60.0,0.0
y,18,170,55,56,60.0,66.0,0.0
y,18,171,55,56,66.0,72.0,0.0
y,18,172,55,56,72.0,78.0,0.0
y,18,173,55,56,78.0,84.0,0.0
y,18,174,55,56,84.0,90.0,0.0
y,18,176,64,55,24.0,36.0,0.0
y,18,178,64,55,36.0,48.0,0.0
y,18,180,64,55,48.0,60.0,0.0
y,18,182,64,55,60.0,72.0,0.0
y,18,184,64,55,72.0,84.0,0.0
y,18,198,64,60,24.0,36.0,0.0
y,18,200,64,60,36.0,48.0,0.0
y,18,202,64,60,48.0,60.0,0.0
y,18,204,64,60,60.0,72.0,0.0
y,18,206,64,60,72.0,84.0,0.0
y,18,230,64,53,24.0,36.0,0.0
y,18,232,64,53,36.0,48.0,0.0
y,18,234,64,53,48.0,60.0,0.0
y,18,236,64,53,60.0,72.0,0.0
y,18,238,64,53,72.0,84.0,0.0
y,18,240,40,39,18.0,24.0,0.0
y,18,241,40,39,24.0,30.0,0.0
y,18,242,40,39,30.0,36.0,0.0
y,18,243,40,39,36.0,42.0,0.0
y,18,244,40,39,42.0,48.0,0.0
y,18,245,40,39,48.0,54.0,0.0
y,18,246,40,39,54.0,60.0,0.0
y,18,247,40,39,60.0,66.0,0.0
y,18,248,40,39,66.0,72.0,0.0
y,18,249,40,39,72.0,78.0,0.0
y,18,250,40,39,78.0,84.0,0.0
y,18,251,40,39,84.0,90.0,0.0
y,18,262,40,43,18.0,24.0,0.0
y,18,263,40,43,24.0,30.0,0.0
y,18,264,40,43,30.0,36.0,0.0
y,18,265,40,43,36.0,42.0,0.0
y,18,266,40,43,42.0,48.0,0.0
y,18,267,40,43,48.0,54.0,0.0
y,18,268,40,43,54.0,60.0,0.0
y,18,269,40,43,60.0,66.0,0.0
y,18,270,40,43,66.0,72.0,0.0
y,18,271,40,43,72.0,78.0,0.0
y,18,272,40,43,78.0,84.0,0.0
y,18,273,40,43,84.0,90.0,0.0
y,18,275,40,35,24.0,36.0,0.0
y,18,277,40,35,36.0,48.0,1.0
y,18,279,40,35,48.0,60.0,2.0
y,18,281,40,35,60.0,72.0,1.0
y,18,283,40,35,72.0,84.0,0.0
y,18,296,49,51,24.0,36.0,0.0
y,18,298,49,51,36.0,48.0,0.0
y,18,300,49,51,48.0,60.0,0.0
y,18,302,49,51,60.0,72.0,0.0
y,18,304,49,51,72.0,84.0,0.0
y,18,323,49,48,18.0,24.0,0.0
y,18,324,49,48,24.0,30.0,0.0
y,18,325,49,48,30.0,36.0,0.0
y,18,326,49,48,36.0,42.0,0.0
y,18,327,49,48,42.0,48.0,0.0
y,18,328,49,48,48.0,54.0,0.0
y,18,329,49,48,54.0,60.0,0.0
y,18,330,49,48,60.0,66.0,0.0
y,18,331,49,48,66.0,72.0,0.0
y,18,332,49,48,72.0,78.0,0.0
y,18,333,49,48,78.0,84.0,0.0
y,18,334,49,48,84.0,90.0,0.0
y,18,336,27,29,24.0,36.0,0.0
y,18,338,27,29,36.0,48.0,0.0
