varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,138,9,25,17,144.0,156.0,0.0
y,138,11,25,17,156.0,168.0,0.0
y,138,13,25,17,168.0,180.0,0.0
y,138,15,25,17,180.0,192.0,0.0
y,138,17,25,17,192.0,204.0,0.0
y,138,29,25,30,138.0,144.0,0.0
y,138,30,25,30,144.0,150.0,1.0
y,138,31,25,30,150.0,156.0,0.0
y,138,32,25,30,156.0,162.0,0.0
y,138,33,25,30,162.0,168.0,0.0
y,138,34,25,30,168.0,174.0,0.0
y,138,35,25,30,174.0,180.0,0.0
y,138,36,25,30,180.0,186.0,0.0
y,138,37,25,30,186.0,192.0,0.0
y,138,38,25,30,192.0,198.0,1.0
y,138,39,25,30,198.0,204.0,0.0
y,138,40,25,30,204.0,210.0,0.0
y,138,51,25,19,138.0,144.0,1.0
y,138,52,25,19,144.0,150.0,0.0
y,138,53,25,19,150.0,156.0,0.0
y,138,54,25,19,156.0,162.0,0.0
y,138,55,25,19,162.0,168.0,0.0
y,138,56,25,19,168.0,174.0,0.0
y,138,57,25,19,174.0,180.0,0.0
y,138,58,25,19,180.0,186.0,0.0
y,138,59,25,19,186.0,192.0,0.0
y,138,60,25,19,192.0,198.0,0.0
y,138,61,25,19,198.0,204.0,0.0
y,138,62,25,19,204.0,210.0,0.0
y,138,63,3,5,138.0,144.0,0.0
y,138,64,3,5,144.0,150.0,0.0
y,138,65,3,5,150.0,156.0,0.0
y,138,66,3,5,156.0,162.0,0.0
y,138,67,3,5,162.0,168.0,0.0
y,138,68,3,5,168.0,174.0,0.0
y,138,69,3,5,174.0,180.0,0.0
y,138,70,3,5,180.0,186.0,0.0
y,138,71,3,5,186.0,192.0,0.0
y,138,72,3,5,192.0,198.0,0.0
y,138,73,3,5,198.0,204.0,0.0
y,138,74,3,5,204.0,210.0,0.0
y,138,76,55,60,144.0,156.0,0.0
y,138,78,55,60,156.0,168.0,0.0
y,138,80,55,60,168.0,180.0,0.0
y,138,82,55,60,180.0,192.0,0.0
y,138,84,55,60,192.0,204.0,0.0
y,138,93,55,54,144.0,156.0,0.0
y,138,95,55,54,156.0,168.0,0.0
y,138,97,55,54,168.0,180.0,0.0
y,138,99,55,54,180.0,192.0,0.0
y,138,101,55,54,192.0,204.0,0.0
y,138,104,55,50,144.0,156.0,2.0
y,138,106,55,50,156.0,168.0,3.0
y,138,108,55,50,168.0,180.0,0.0
y,138,110,55,50,180.0,192.0,1.0
y,138,112,55,50,192.0,204.0,0.0
y,138,128,56,60,138.0,144.0,0.0
y,138,129,56,60,144.0,150.0,0.0
y,138,130,56,60,150.0,156.0,0.0
y,138,131,56,60,156.0,162.0,0.0
y,138,132,56,60,162.0,168.0,0.0
y,138,133,56,60,168.0,174.0,0.0
y,138,134,56,60,174.0,180.0,0.0
y,138,135,56,60,180.0,186.0,0.0
y,138,136,56,60,186.0,192.0,0.0
y,138,137,56,60,192.0,198.0,0.0
y,138,138,56,60,198.0,204.0,0.0
y,138,139,56,60,204.0,210.0,0.0
y,138,140,14,20,138.0,144.0,0.0
y,138,153,56,45,144.0,156.0,0.0
y,138,155,56,45,156.0,168.0,0.0
y,138,157,56,45,168.0,180.0,1.0
y,138,159,56,45,180.0,192.0,0.0
y,138,161,56,45,192.0,204.0,0.0
y,138,163,55,56,138.0,144.0,0.0
y,138,164,55,56,144.0,150.0,0.0
y,138,165,55,56,150.0,156.0,0.0
y,138,166,55,56,156.0,162.0,0.0
y,138,167,55,56,162.0,168.0,0.0
y,138,168,55,56,168.0,174.0,0.0
y,138,169,55,56,174.0,180.0,0.0
y,138,170,55,56,180.0,186.0,0.0
y,138,171,55,56,186.0,192.0,0.0
y,138,172,55,56,192.0,198.0,0.0
y,138,173,55,56,198.0,204.0,0.0
y,138,174,55,56,204.0,210.0,0.0
y,138,176,64,55,144.0,156.0,0.0
y,138,178,64,55,156.0,168.0,0.0
y,138,180,64,55,168.0,180.0,0.0
y,138,182,64,55,180.0,192.0,0.0
y,138,184,64,55,192.0,204.0,0.0
y,138,198,64,60,144.0,156.0,0.0
y,138,200,64,60,156.0,168.0,0.0
y,138,202,64,60,168.0,180.0,0.0
y,138,204,64,60,180.0,192.0,0.0
y,138,206,64,60,192.0,204.0,0.0
y,138,230,64,53,144.0,156.0,0.0
y,138,232,64,53,156.0,168.0,0.0
y,138,234,64,53,168.0,180.0,1.0
y,138,236,64,53,180.0,192.0,0.0
y,138,238,64,53,192.0,204.0,0.0
y,138,240,40,39,138.0,144.0,0.0
y,138,241,40,39,144.0,150.0,0.0
y,138,242,40,39,150.0,156.0,0.0
y,138,243,40,39,156.0,162.0,0.0
y,138,244,40,39,162.0,168.0,0.0
y,138,245,40,39,168.0,174.0,0.0
y,138,246,40,39,174.0,180.0,0.0
y,138,247,40,39,180.0,186.0,0.0
y,138,248,40,39,186.0,192.0,0.0
y,138,249,40,39,192.0,198.0,0.0
y,138,250,40,39,198.0,204.0,0.0
y,138,251,40,39,204.0,210.0,0.0
y,138,262,40,43,138.0,144.0,0.0
y,138,263,40,43,144.0,150.0,0.0
y,138,264,40,43,150.0,156.0,0.0
y,138,265,40,43,156.0,162.0,0.0
y,138,266,40,43,162.0,168.0,0.0
y,138,267,40,43,168.0,174.0,0.0
y,138,268,40,43,174.0,180.0,0.0
y,138,269,40,43,180.0,186.0,0.0
y,138,270,40,43,186.0,192.0,0.0
y,138,271,40,43,192.0,198.0,0.0
y,138,272,40,43,198.0,204.0,0.0
y,138,273,40,43,204.0,210.0,0.0
y,138,275,40,35,144.0,156.0,1.0
y,138,277,40,35,156.0,168.0,2.0
y,138,279,40,35,168.0,180.0,0.0
y,138,281,40,35,180.0,192.0,2.0
y,138,283,40,35,192.0,204.0,1.0
y,138,296,49,51,144.0,156.0,0.0
y,138,298,49,51,156.0,168.0,0.0
y,138,300,49,51,168.0,180.0,0.0
y,138,302,49,51,180.0,192.0,0.0
y,138,304,49,51,192.0,204.0,0.0
y,138,323,49,48,138.0,144.0,0.0
y,138,324,49,48,144.0,150.0,0.0
y,138,325,49,48,150.0,156.0,0.0
y,138,326,49,48,156.0,162.0,0.0
y,138,327,49,48,162.0,168.0,0.0
y,138,328,49,48,168.0,174.0,0.0
y,138,329,49,48,174.0,180.0,0.0
y,138,330,49,48,180.0,186.0,0.0
y,138,331,49,48,186.0,192.0,0.0
y,138,332,49,48,192.0,198.0,0.0
y,138,333,49,48,198.0,204.0,0.0
y,138,334,49,48,204.0,210.0,0.0
y,138,336,27,29,144.0,156.0,0.0
y,138,338,27,29,156.0,168.0,0.0
y,138,340,27,29,168.0,180.0,0.0
y,138,342,27,29,180.0,192.0,0.0
y,138,344,27,29,192.0,204.0,0.0
y,138,347,27,31,144.0,156.0,0.0
y,138,349,27,31,156.0,168.0,0.0
y,138,351,27,31,168.0,180.0,0.0
y,138,353,27,31,180.0,192.0,0.0
