varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,150,9,25,17,156.0,168.0,0.0
y,150,11,25,17,168.0,180.0,0.0
y,150,13,25,17,180.0,192.0,0.0
y,150,15,25,17,192.0,204.0,0.0
y,150,17,25,17,204.0,216.0,0.0
y,150,29,25,30,150.0,156.0,0.0
y,150,30,25,30,156.0,162.0,0.0
y,150,31,25,30,162.0,168.0,0.0
y,150,32,25,30,168.0,174.0,0.0
y,150,33,25,30,174.0,180.0,0.0
y,150,34,25,30,180.0,186.0,0.0
y,150,35,25,30,186.0,192.0,0.0
y,150,36,25,30,192.0,198.0,0.0
y,150,37,25,30,198.0,204.0,0.0
y,150,38,25,30,204.0,210.0,0.0
y,150,39,25,30,210.0,216.0,0.0
y,150,40,25,30,216.0,222.0,0.0
y,150,51,25,19,150.0,156.0,3.000000000000158
y,150,52,25,19,156.0,162.0,0.0
y,150,53,25,19,162.0,168.0,0.0
y,150,54,25,19,168.0,174.0,0.0
y,150,55,25,19,174.0,180.0,0.0
y,150,56,25,19,180.0,186.0,0.0
y,150,57,25,19,186.0,192.0,0.0
y,150,58,25,19,192.0,198.0,0.0
y,150,59,25,19,198.0,204.0,0.0
y,150,60,25,19,204.0,210.0,0.0
y,150,61,25,19,210.0,216.0,0.0
y,150,62,25,19,216.0,222.0,0.0
y,150,63,3,5,150.0,156.0,0.0
y,150,64,3,5,156.0,162.0,0.0
y,150,65,3,5,162.0,168.0,0.0
y,150,66,3,5,168.0,174.0,0.0
y,150,67,3,5,174.0,180.0,0.0
y,150,68,3,5,180.0,186.0,0.0
y,150,69,3,5,186.0,192.0,0.0
y,150,70,3,5,192.0,198.0,0.0
y,150,71,3,5,198.0,204.0,0.0
y,150,72,3,5,204.0,210.0,0.0
y,150,73,3,5,210.0,216.0,0.0
y,150,74,3,5,216.0,222.0,0.0
y,150,76,55,60,156.0,168.0,0.0
y,150,78,55,60,168.0,180.0,0.0
y,150,80,55,60,180.0,192.0,0.0
y,150,82,55,60,192.0,204.0,0.0
y,150,84,55,60,204.0,216.0,0.0
y,150,93,55,54,156.0,168.0,0.0
y,150,95,55,54,168.0,180.0,0.0
y,150,97,55,54,180.0,192.0,0.0
y,150,99,55,54,192.0,204.0,0.0
y,150,101,55,54,204.0,216.0,0.0
y,150,104,55,50,156.0,168.0,6.000000000000019
y,150,106,55,50,168.0,180.0,0.0
y,150,108,55,50,180.0,192.0,0.0
y,150,110,55,50,192.0,204.0,1.0000000000000007
y,150,112,55,50,204.0,216.0,0.0
y,150,128,56,60,150.0,156.0,0.0
y,150,129,56,60,156.0,162.0,0.0
y,150,130,56,60,162.0,168.0,0.0
y,150,131,56,60,168.0,174.0,0.0
y,150,132,56,60,174.0,180.0,0.0
y,150,133,56,60,180.0,186.0,0.0
y,150,134,56,60,186.0,192.0,0.0
y,150,135,56,60,192.0,198.0,0.0
y,150,136,56,60,198.0,204.0,0.0
