ID,example,timehorizon,timestep,numlocs,numdrivers,numtrucks,numarcs,lambdaobj,timedelta,totalcompletedorders,neworders,numorders,iteration,cumuloptval,totalpastcost,optval,optval_delay,optval_dist,infeasible_order_count,incomplete_order_count,ordertrips,emptytrips,taxitrips,ordermiles,emptymiles,taximiles,delay_per_order,max_order_delay,nightsathome,nightsaway,ip_time,order_arc_count
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,0,0,115,115,drivers,192541.78518746045,0,192541.78518746045,82.99776953927524,151042.90041782285,0.0,41.0,0,0,0,0,0,0,NaN,0,9801.0,147.0,3603.5122759342194,37582
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,6,1,38,152,drivers,247733.0586412779,2791.9202651012447,244941.13837617665,121.23634130356554,184322.96772439394,0.0,55.0,9,4.0,0,1857.3999980878168,934.5202670134274,0,0.0,0.0,11423.0,202.0,1126.2396738529205,47162
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,12,4,26,175,drivers,283709.9320207142,4241.016218162544,279468.91580255167,142.93014618757832,208003.84270876233,0.0,57.0,18,6.0,0,3109.833692567415,1131.1825255951285,0,-7.80047085941794e-17,0.0,9718.0,230.0,589.791741847992,54881
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,18,11,16,184,drivers,314815.1684841953,18033.192374228613,296781.9761099667,157.8470956502659,217858.42828483353,0.0,64.0,60,17.000000000001137,0,12778.604915258657,3521.764230974052,0,0.31505876872652827,0.8823108511860728,11305.0,282.0,3602.514070034027,56452
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,24,12,24,207,drivers,350655.1277424793,19735.5305976247,330919.5971448546,179.91368289100146,240962.75569935373,0.0,68.0,69,21.000000000001137,0,13690.650452473834,4312.056917154965,0,0.2888038713326509,0.8823108511860728,9666.0,282.0,483.8789789676666,62712
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,30,29,37,227,drivers,418477.59719130996,44058.892712818386,374418.70447849156,200.52811700867667,274154.64597415325,0.0,81.0,159,40.00000000000114,0,32343.54400762894,8427.574276448066,0,0.22674306405113082,0.8823108511860728,11263.0,362.0,955.0871498584747,75861
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,36,33,17,240,drivers,432001.61385960615,47357.18783692712,384644.426022679,207.62643254129895,280831.20975202945,0.0,73.0,186,47.00000000000114,0,34731.22508426221,9165.115823457762,0,0.20974829873982806,0.8823108511860728,9622.0,326.0,1614.2994029521942,89206
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,42,59,28,242,drivers,474273.7928662128,82238.34374312425,392035.4491230885,218.06132975050096,283004.78424783796,0.0,81.0,304,76.00000000000249,0,59647.41424506149,15077.832770146255,0,0.25468124501411854,0.8823108511860728,11198.0,389.0,559.9817540645599,84012
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,48,62,33,272,drivers,517753.8646058907,85603.22097484814,432150.64363104256,253.0876029629521,305606.8421495663,0.0,88.0,331,84.00000000000249,0,62007.06075303444,15956.827399369522,0,0.24643009104658714,0.8823108511860728,9625.0,323.0,2433.7858831882477,98704
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,54,89,32,277,drivers,569117.9691918792,127184.08714741563,441933.88204446353,272.5427911856726,305662.48645162734,0.0,96.0,459,124.00000000000277,0,89759.8767901297,24934.808611831337,0,0.2806607133810038,1.2779792558770096,11231.0,394.0,3602.9098720550537,103136
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,60,91,16,291,drivers,584230.5485525174,131105.34049809622,453125.20805442124,286.18470807892606,310032.8540149581,0.0,88.0,492,131.00000000000344,0,92932.8485231351,25582.155371697998,0,0.2767106945772132,1.2779792558770096,9621.0,327.0,1384.2725811004639,112561
ex4_rr_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,66,128,18,272,drivers,613184.3439221645,174422.55828187434,438761.78564029024,280.010832874546,298756.36920301744,0.0,90.0,639,159.00000000000367,0,124077.54694033932,32152.65278004793,0,0.2842556025232383,1.3317585210913974,11182.999999507836,404.00000049216396,3605.769784927368,103563
