ID,example,method,orderid,orderdist,orderpenaltydist,orderdeliverytime,shortesttriptime
ex4_rr_rundate2022-03-23,4,rr,1,472.848403080034,0.0,20.198913615000002,20.198913615000002
ex4_rr_rundate2022-03-23,4,rr,2,1296.534791993947,0.0,91.318511948,47.94232708
ex4_rr_rundate2022-03-23,4,rr,3,496.784560052312,0.0,20.279942196999997,20.279942197
ex4_rr_rundate2022-03-23,4,rr,4,959.750232733815,0.0,50.279942197,25.059675220000003
ex4_rr_rundate2022-03-23,4,rr,5,245.599883785544,0.0,14.245203930999999,8.245203931
ex4_rr_rundate2022-03-23,4,rr,6,496.784560052312,0.0,26.279942196999997,20.279942197
ex4_rr_rundate2022-03-23,4,rr,7,1539.556792565013,0.0,67.311860141,43.311860141
ex4_rr_rundate2022-03-23,4,rr,8,692.520167781424,0.0,27.069236822,20.83286764
ex4_rr_rundate2022-03-23,4,rr,9,308.337915273872,0.0,24.570260496,18.5044975
ex4_rr_rundate2022-03-23,4,rr,10,672.91608969452,0.0,29.650121865000003,25.53191459
ex4_rr_rundate2022-03-23,4,rr,11,217.951370235144,0.0,5.792768582000001,5.792768582
ex4_rr_rundate2022-03-23,4,rr,12,1925.6785575507006,1925.6785575507006,248.197571421,66.30582417
ex4_rr_rundate2022-03-23,4,rr,13,1017.901901574675,0.0,65.29123927,41.29123927
ex4_rr_rundate2022-03-23,4,rr,14,2955.663552510197,2955.663552510197,266.2439884057,80.187683389
ex4_rr_rundate2022-03-23,4,rr,15,1273.488861213167,0.0,57.46018179399999,57.460181794
ex4_rr_rundate2022-03-23,4,rr,16,1432.558577395232,0.0,68.279942197,56.279942197
ex4_rr_rundate2022-03-23,4,rr,17,227.368525579854,0.0,7.6169511929999985,7.616951193
ex4_rr_rundate2022-03-23,4,rr,18,1368.4439183051488,0.0,61.186124456,55.186124456
ex4_rr_rundate2022-03-23,4,rr,19,240.878954790344,0.0,12.800324389,6.800324389
ex4_rr_rundate2022-03-23,4,rr,20,2330.1035989538927,2330.1035989538927,246.33972544430003,74.107481111
ex4_rr_rundate2022-03-23,4,rr,21,1485.6598032723869,0.0,105.460181794,57.460181794
ex4_rr_rundate2022-03-23,4,rr,22,1208.6976827192586,0.0,62.478843978,41.29123927
ex4_rr_rundate2022-03-23,4,rr,23,1123.966957998357,0.0,62.620092145,50.620092145
ex4_rr_rundate2022-03-23,4,rr,24,786.14633591583,0.0,54.573327867,30.353685238
ex4_rr_rundate2022-03-23,4,rr,25,2503.2351034356343,2503.2351034356343,261.8155924558,76.781224966
ex4_rr_rundate2022-03-23,4,rr,26,1925.6785575507006,1925.6785575507006,236.197571421,66.30582417
ex4_rr_rundate2022-03-23,4,rr,27,125.622431360481,0.0,4.5535626759999985,4.553562676
ex4_rr_rundate2022-03-23,4,rr,28,2330.1035989538927,2330.1035989538927,246.33972544430003,74.107481111
ex4_rr_rundate2022-03-23,4,rr,29,1539.0760454046138,1539.0760454046138,215.22249976400002,54.78653828
ex4_rr_rundate2022-03-23,4,rr,30,1221.4151588825018,0.0,62.538235278,52.781224965999996
ex4_rr_rundate2022-03-23,4,rr,31,919.2265867487631,0.0,71.722140251,35.722140251
ex4_rr_rundate2022-03-23,4,rr,32,1368.4439183051488,0.0,61.186124456,55.186124456
ex4_rr_rundate2022-03-23,4,rr,33,479.10095925769804,0.0,31.311860140999997,19.311860141
ex4_rr_rundate2022-03-23,4,rr,34,925.5325264216449,0.0,55.04443728,35.722140251
ex4_rr_rundate2022-03-23,4,rr,35,888.6447616995644,0.0,59.650121865,37.53191459
ex4_rr_rundate2022-03-23,4,rr,36,1306.3096262754266,0.0,140.137530523,56.137530523
ex4_rr_rundate2022-03-23,4,rr,37,915.3490971809279,0.0,48.940666027,34.309536109999996
ex4_rr_rundate2022-03-23,4,rr,38,959.750232733815,0.0,57.434176667,27.20443652
ex4_rr_rundate2022-03-23,4,rr,39,849.8937502584919,0.0,41.777241231,27.050518333
