location,shift,drivers,unused,totalhoursworked,utilization,nightsaway
1,1,7,1,142.1728077585626,0.5641778085657246,6.380975019172327
1,2,1,0,35.99999999999999,0.9999999999999998,1.9631658034756536
2,1,8,0,197.91530904417,0.6872059341811458,8.325541890716298
2,2,4,0,144.0,1.0,6.161908421643854
3,1,2,0,65.4719597109487,0.9093327737631763,3.1198393390276267
3,2,0,0,0,1,0
4,1,2,0,72.0,1.0,2.7747709105605036
4,2,1,0,36.0,1.0,2.0
5,1,1,0,29.985064060599715,0.8329184461277699,1.2848584456243886
5,2,3,0,108.0,1.0,5.365384930061835
6,1,2,0,72.0,1.0,3.0654557483061815
6,2,3,0,108.0,1.0,4.7084491965388064
7,1,5,0,180.0,1.0,6.804464765529219
7,2,7,0,244.75654678590382,0.9712561380393009,8.475115056226176
8,1,4,0,144.0,1.0,6.667554466948345
8,2,5,0,180.0,1.0,8.68272632862755
9,1,10,1,181.82467432037845,0.505068539778829,8.530996511303272
9,2,5,0,174.1888453882035,0.9677158077122416,9.112263293631878
10,1,7,0,252.0,1.0,12.839162910308689
10,2,3,0,108.0,1.0,4.54017030813306
11,1,5,0,180.0,1.0,8.279781679653478
11,2,6,0,216.0,1.0,10.204373624591353
12,1,4,0,144.0,1.0,7.53559245698375
12,2,4,0,144.0,1.0,7.721745158234141
13,1,3,0,108.0,1.0,5.548522972274443
13,2,0,0,0,1,0
14,1,3,0,108.0,1.0,5.360756458192975
14,2,6,0,216.0,1.0,10.355198026111399
15,1,7,1,183.23951946867248,0.7271409502725098,7.8951064803443
15,2,8,1,186.44405294039973,0.6473751838208324,9.231323587327312
16,1,3,0,108.0,1.0,5.272770049864784
16,2,2,0,72.0,1.0,3.0
17,1,0,0,0,1,0
17,2,3,0,108.0,1.0,5.593251312859994
18,1,2,0,72.0,1.0,3.5573094797565963
18,2,1,0,36.0,1.0,1.5270736326733492
19,1,4,0,144.0,1.0,8.066956367006364
19,2,2,0,72.0,1.0,3.082413858431442
20,1,2,0,72.0,1.0,3.0
20,2,3,0,108.0,1.0,4.502518221893367
21,1,6,0,216.0,1.0,9.662115851317973
21,2,3,0,108.0,1.0,5.337884148682027
22,1,5,0,180.0,1.0,7.885939491771467
22,2,8,0,268.590359242426,0.9326054140362015,13.487265779938875
23,1,0,0,0,1,0
23,2,3,0,96.80344141353162,0.8963281612364038,4.717274579025075
24,1,4,0,144.0,1.0,6.281396946004268
24,2,4,0,144.0,1.0,6.359802841249684
25,1,10,0,360.0,1.0,16.53838738381015
25,2,8,0,288.0,1.0,12.353578436100513
26,1,5,0,180.0,1.0,7.134421445071707
26,2,4,0,144.0,1.0,7.944470929180419
27,1,3,0,84.70622349313503,0.7843168841956947,3.866302352581097
27,2,0,0,0,1,0
28,1,3,0,53.176304432921256,0.4923731891937153,2.751486277363523
28,2,1,0,35.76909412597938,0.9935859479438717,1.5497883001851924
29,1,1,0,36.0,1.0,1.8349199354343444
29,2,0,0,0,1,0
30,1,8,0,288.0,1.0,13.086922864086034
30,2,5,0,180.0,1.0,8.478240613765589
31,1,4,0,144.0,1.0,6.1504095343471405
31,2,3,0,108.0,1.0,4.6078271111152995
32,1,4,0,144.0,1.0,5.506571344976772
32,2,4,0,143.99999999999991,0.9999999999999994,7.332696211730218
33,1,7,0,252.0,1.0,11.80987667448641
33,2,4,0,144.0,1.0,7.056817104549268
34,1,2,0,72.0,1.0,3.509638863058636
34,2,1,0,36.0,1.0,1.7149162217178704
35,1,1,0,36.0,1.0,1.5
35,2,3,0,108.0,1.0,5.445269024988529
36,1,5,0,180.0,1.0,8.095678851681788
36,2,6,0,216.0,1.0,10.813103513058865
37,1,9,0,324.0,1.0,14.989489616588818
37,2,9,0,324.0,1.0,16.03109784193075
38,1,1,0,36.0,1.0,1.5773531010350548
38,2,2,0,72.0,1.0,3.086410994518137
39,1,5,0,110.39618463479405,0.613312136859967,5.581326000674936
39,2,6,1,132.91227717701523,0.6153346165602557,5.385035649615007
40,1,1,0,36.0,1.0,1.2815888043235235
40,2,5,0,55.61466876241046,0.30897038201339144,3.38158974532694
41,1,1,0,36.0,1.0,1.5
41,2,1,0,36.0,1.0,1.7133061684232753
42,1,7,0,252.0,1.0,11.822459138824767
42,2,7,0,252.0,1.0,11.027282786851716
43,1,7,0,205.41507009624777,0.8151391670486022,7.604696802243226
43,2,7,0,252.0,1.0,11.445422170434131
44,1,2,0,28.021362056427975,0.3891855841170552,1.1675567523511656
44,2,1,0,24.0,0.6666666666666666,1.0
45,1,8,0,288.0,1.0,13.076640072892626
45,2,19,0,661.9545841111735,0.9677698598116572,30.694088555209962
46,1,4,0,79.3457133603402,0.5510118983356959,3.925375043271604
46,2,1,0,35.99999999999999,0.9999999999999998,1.9856949930647032
47,1,7,0,145.81670744870752,0.5786377279710616,7.761798101538275
47,2,4,0,120.92004964700816,0.8397225669931122,5.6047245089008
48,1,2,0,72.0,1.0,3.1878463044833527
48,2,6,0,106.08107372249718,0.4911160820485981,5.827778266951618
49,1,3,0,32.960517427669274,0.3051899761821229,1.5699921942803292
49,2,1,0,28.114838467866058,0.7809677352185016,1.5472799432057092
50,1,7,0,252.0,1.0,12.05655206847358
50,2,9,0,270.1213552001192,0.833707886420121,13.00429986674393
51,1,4,0,117.95138583480716,0.8191068460750497,6.281032416257573
51,2,7,1,127.8124864598974,0.5071924065868945,5.55139540084088
52,1,5,1,57.69338458068036,0.320518803226002,3.0671268784349506
52,2,4,1,47.64436821912244,0.3308636681883503,2.4269448012122967
53,1,8,0,288.0,1.0,13.5
53,2,6,0,139.28103956878758,0.6448196276332758,6.935234052123574
54,1,7,0,252.0,1.0,12.075726763706662
54,2,4,0,141.281259741486,0.981119859315875,7.242592022255305
55,1,8,1,155.7196379440795,0.5406931873058316,7.5095047970666435
55,2,10,4,170.4003140666497,0.4733342057406936,7.779270801375617
56,1,12,1,316.4255720316257,0.7324666019250594,14.529724217864674
56,2,6,0,209.83046298944524,0.9714373286548391,8.594389888004413
57,1,2,0,72.0,1.0,3.6303363585332784
57,2,1,0,35.37582413969724,0.9826617816582566,1.6541625998412441
58,1,1,0,24.0,0.6666666666666666,1.0
58,2,2,0,36.0,0.5,2.0
59,1,4,0,45.52244393810913,0.3161280829035356,2.3135038674724484
59,2,3,0,87.12807260479869,0.8067414130073952,4.260672717066557
60,1,10,3,117.62332251317397,0.32673145142548327,5.681764540807369
60,2,9,0,183.1867184648388,0.5653911063729593,9.92652004031072
61,1,1,0,6.603267929946497,0.18342410916518048,0.5502723274955414
61,2,0,0,0,1,0
62,1,1,0,19.364617383930188,0.5379060384425052,0.8068590576637578
62,2,2,1,26.56334636145158,0.3689353661312719,1.2886686136376113
63,1,5,0,119.05990676499262,0.6614439264721812,5.380326658828661
63,2,4,0,90.42851396450557,0.6279757914201776,4.317688317341646
64,1,3,0,36.0,0.3333333333333333,2.0
